,url,poster,title,ganres,description,year,rating,cast
0,https://kino.mail.ru/series_927195_tekst_realnost/,https://resizer.mail.ru/p/094edcd4-201f-5f4a-9bdc-71b23f6acbed/AAACJ_O78NR7STqagPNQwkgjvE2IN6MmvfyC_rZpF0IgEgqOnm52n0xlEu7Y4Iklg6CRYOrUQE1vRNibEXa13Vwhlmo.jpg,Текст. Реальность,"['драма', 'триллер']","После семи лет тюрьмы 27-летний Илья Горюнов выходит на свободу. За решетку он попал из-за ложного обвинения в распространении наркотиков. Его жизнь разрушена, в ней не осталось близких людей и надежд. Встретившись лицом к лицу со своим обидчиком Петром, Горюнов в порыве гнева совершает настоящее преступление, в результате которого мужчина получает доступ к смартфону Петра, его фотографиям и видео, перепискам с родителями и девушкой Ниной, странным и полными угроз переговорам с коллегами. Так Илья получает шанс стать Петром — используя текст на экране телефона.
«Текст. Реальность» — это расширенная версия фильма «Текст», снятого по роману Дмитрия Глуховского.","['2020', '(Сериал', 'закончился)']",6.4,"['Александр Петров, Кристина Асмус, Иван Янковский, Софья Озерова, Максим Виноградов, Клементина Шипенко, Кирилл Нагиев, Виталий Хаев, Дмитрий Глуховский', 'Россия', '18 +']"
1,https://kino.mail.ru/series_899183_chuma/,https://resizer.mail.ru/p/86906c87-d225-5a2b-bcee-0b53ab9505cd/AAACF0379qWLAKYuiwUwS9xHs9U-086UrfMTD8rl4_lHwmHtiA0Z2S81ZjI8eGphv-LsyC1TjMU4f5O9YSrGJj-qw0U.jpg,Чума,['драма'],"«Чума» — сериал о 90-х годах в России. Начинается новая жизнь, и герои пытаются вписаться в нее, как могут. Кто-то вкладывается в сомнительные аферы и прогорает, кого-то ждут успех и легкие деньги, другие не предпринимают ничего, пытаясь переждать сложные времена, но их все равно затягивает в круговорот событий. Нет ни одного человека, которого не коснулось бы происходящее.","['2015', '(Сериал', 'закончился)']",7.6,"['Александр Устюгов, Сергей Жарков, Сергей Селин, Екатерина Климова, Андрей Горбачев, Юрий Беляев, Андрей Аксенов, Даниил Кокин, Ксения Ирхина, Наталья Ткаченко, Вера Шпак', 'Россия', '16 +']"
2,https://kino.mail.ru/series_764686_lyudi_alfa/,https://resizer.mail.ru/p/64c86668-50c6-516c-9b6c-68eba3fa3bdd/AAACuWj_-OXjXS6q3APUy1UdhAGZMn2vGynNDJzQ6yHwZoQbVMS3GSKmGLKerOKwYMNNa8Yns_FYqS3bczTvUZr3guE.jpg,Люди Альфа,"['драма', 'фантастика', 'боевик', 'триллер']","Специальный отряд, работающий на правительство США, состоит из пяти человек со сверхъестественными способностями под предводительством эксперта минобороны Ли Розена. В задачу группы входит вычислить и нейтрализовать себе подобных, но действующих с преступным умыслом — крайне опасную террористическую ячейку «Красный флаг». Герои сериала «Люди Альфа» — не просто супергерои без забот и личностных проблем. Они ежедневно сталкиваются с необходимостью выбора между добром и злом, борьбой за справедливость и попустительством. Одновременно им приходится вести нелегкую борьбу с политикой двойных стандартов: с одной стороны, правительство использует их нечеловеческие способности в своих интересах, а сдругой — без раздумья уничтожает людей Альфа с отклонениями.","['2011', '—', '2012']",6.7,"['Дэвид Стрэтэйрн, Райан Картрайт, Уоррен Кристи, Азита Ганизада, Лаура Меннелл, Мэлик Йоба, Махершала Али, Джон Пайпер-Фергюсон, Эрин Вэй, Кэтлин Манро', 'США', '16 +']"
3,https://kino.mail.ru/series_925033_otpusk/,https://resizer.mail.ru/p/c72e3a31-f006-5ff1-bb99-430d9ec6dbcf/AQACiW1ffn7_oFHCOhWQ_xLt-xkKxAzcl2QTYumVphJ0TnWRfNrRU7dkxY_v0On_t0RYZG0R-Ym4E-2qLwCjoj7vZB0.jpg,Отпуск,['комедия'],"Главный герой Сева вместе с семьей отправляется на отдых в Геленджик, где уже 11-й год подряд останавливается в гестхаусе своего старого друга Бориса. Многолетняя дружба семей приводит к тому, что сын Севы всерьез решает сделать предложение дочке главы семейства южан. Но беда в том, что у девушки уже есть парень.","['2021', '—', 'по']",6.5,"['Павел Майков, Демис Карибидис, Татьяна Догилева, Арарат Кещян, Юлия Подозерова, Кузьма Сапрыкин, Валя Карнавал', 'Россия', '16 +']"
4,https://kino.mail.ru/series_871349_takaya_rabota/,https://resizer.mail.ru/p/4215a7e6-1edf-5159-9a8a-c96b6156ab3e/AAAC-1wbc_2X-G5MC1pHYpQZ_NK883uvf7O0WH4ergkth9GmYLnnZE4zOY4selNPLJKGgoDqcqLw0DPLO-aamxBFrOk.jpg,Такая работа,"['криминал', 'детектив']","«Такая работа» — детективный сериал о четверых полицейских, расследующих убийства. Кто-то лишает людей жизни из корыстных целей, кто-то — пытаясь защитить себя, другие могут совершить преступление из-за боязни за своих близких и родственников. Главная задача каждого из молодых сотрудников полиции, героев сериала, — не ошибиться, понять, какие именно мотивы двигали человеком, совершившим убийство. ","['2015', '—', '2016']",6.3,"['Александр Саюталин, Оксана Базилевич, Дмитрий Паламарчук, Мария Шукшина, Максим Меркулов, Алексей Митин, Ирина Шеянова, Антон Мамин, Егор Петренко, Нина Приселкова, Олег Чугунов, Виктория Агалакова', 'Россия', '16 +']"
5,https://kino.mail.ru/series_913926_trassa_smerti/,https://resizer.mail.ru/p/5866c757-1b17-5a7e-ba4b-be9e060c9e5c/AAAC5tXaH60O9uBWG6oLH67E8l5HMq4rmUGseW9aNXHtEfD2BhB9VunWwtbURAS9qxeXhuxclbePLshpLyuFPu8ahfg.jpg,Трасса смерти,"['драма', 'криминал', 'детектив']","Двум опытным следователям, Мельникову (Сергей Маковецкий) и Звонареву (Андрей Мерзликин), поручают серьезное дело: на федеральной трассе происходит целая серия жестоких убийств. Неуловимые преступники расстреливают водителей одного за другим. События напоминают популярную компьютерную игру, поэтому пресса называет убийц «Банда GTA». Сотрудников ОВД и Следственного комитета объединяет общая цель: нужно найти бандитов как можно скорее, чтобы избежать новых жертв... Сериал «Трасса смерти» основан на реальных событиях, происходивших на автодороге М4 («Дон») в 2014 году.","['2017', '(Сериал', 'закончился)']",7.4,"['Сергей Маковецкий, Андрей Мерзликин, Агния Кузнецова, Александр Лучинин, Артем Семакин, Александр Тютин, Дмитрий Брауэр, Ольга Никольская', 'Россия', '16 +']"
6,https://kino.mail.ru/series_791248_ver/,https://resizer.mail.ru/p/0a6daca5-34d1-5866-8e8f-5dce788b8fbb/AAACHcKK6fZv5tCP6X7uXzl9xs3gf1R5UiRv3Afj95Z9FEwmy1XuJ3hAa4YvIclwdTbncgMzZxofWAjcvEs85-FiNZE.jpg,Верь,"['драма', 'фэнтези']","В двухлетнем возрасте у Бо обнаружились суперспособности, которые она не может до конца понять и контролировать. Девочка выросла в тайном обществе, среди людей, которые называют себя «Правоверными» и оберегают её дар от корыстных злодеев. Ее сила со временем растет, как и угроза нашему миру. Когда ей исполняется 10 лет, «Правоверные» обращаются к приговоренному к смертной казни человеку по имени Тейт. Тэйт и Бо начинают путешествие, в котором они должны научиться доверять друг другу. Переезжая из города в город, они меняют жизни каждого, кто встречается на их пути. Зловещие силы следуют за ними.","['2014', '(Сериал', 'закончился)']",6.9,"['Джонни Секвойя, Джэйк МакЛафлин, Делрой Линдо, Кайл МакЛоклен, Сиенна Гиллори, Джейми Чанг, Ариан Моайед, Реми Обержене, Мари-Пьер Босежур, Марулль Ботула', 'США', '12 +']"
7,https://kino.mail.ru/series_817199_pozdnee_raskayanie/,https://resizer.mail.ru/p/5d154de1-4fc4-5828-9b7c-8a0ba97ef971/AAACJ_A-vuV1Fp5MtROgEh7qZxMAzQglfWcxhWYIiP4WbXBpulztZzwxXO8aEOl0g5HQu66EhpG08ialz9IN-aUK_m4.jpg,Позднее раскаяние,['мелодрама'],"В семье Милы и Кости давно разлад — все, что их еще держит вместе, — забота о дочерях, Лике и Кире. Мила считает супруга неспособным обеспечить семью и потому большую часть времени проводит с любовником Томашем, успешным доктором. Другая семья — Анна и ее сын Сергей живут в ожидании чуда. Они надеются, что однажды их пропавший без вести отец и муж вернется из Афганистана. Без того непростые судьбы героев сериала «Позднее раскаяние» усложняются еще больше, когда становится известно о том, что у Киры будет ребенок от Сергея, а ведь молодым людям только по 16 лет. Узнав о беременности дочери, Мила просит Томаша устранить возникшую проблему.","['2013', '(Сериал', 'закончился)']",7.6,"['Регина Мянник, Олег Масленников-Войтов, Сергей Калантай, Максим Дрозд, Дарина Лобода, Анна Синякина, Алексей Барбинов, Артем Крестников, Марина Ягодкина, Андрей Косташ, Игорь Верник', 'Украина', '16 +']"
8,https://kino.mail.ru/series_884703_tyomnaya_materiya/,https://resizer.mail.ru/p/cace81b3-94e7-5ca8-93f9-41023cbfd395/AAACXadE8z-gIYglCclcqABMDo64IX316v8HpdEsGfz00SI1MYzGDLciNQZAQDMP9t9S8zFM-g9yuUEIpzENsxrZ018.jpg,Черная материя,['фантастика'],"Действие фантастического сериала разворачивается на борту заброшенного космического корабля, бороздящего просторы далеких галактик. Шесть членов корабля пробуждаются от странного сна, абсолютно не помня, кто они и откуда. Чтобы остаться в живых в этом путешествии, героям придется преодолевать опасности и неизвестность, пытаться разгадать секреты и вспомнить прошлое. Сериал «Черная материя» основан на одноименном комиксе Джозефа Маллоцци.","['2015', '—', '2017']",7.5,"['Марк Бендавид, Мелисса О’Нил, Энтони Лемке, Алекс Маллари мл., Джоделль Ферланд, Роджер Р. Кросс, Зои Палмер, Джессика Сайпос, Аманда Бругел, Джон Кор', 'Канада', '16 +']"
9,https://kino.mail.ru/series_766105_v_filadelfii_vsegda_solnechno/,https://resizer.mail.ru/p/b9cd3f64-659b-55ee-8b2d-a7b89f0eefd7/AAACWhzFDwLmeQdOuKtKw3RciEuwQQrQw5VDgycl2c2BfsIr2vSCcyGbe75ypgzb-I8kIPNTANZD7b1ZcCc8e4BBDoo.jpg,В Филадельфии всегда солнечно,['комедия'],"Cитком о пятерых товарищах, которые держат ирландский бар в не самом благополучном районе Филадельфии. То же самое можно сказать и о самих героях — они, под стать району, погрязли в неудачах, вражде, всегда ссорятся, врут друг другу, попадая из-за этого в самые нелепые и смешнейшие ситуации. Множество сюжетов основано на конфликтах, возникающих из-за их постоянного соперничества и желания что-то друг другу доказать. Это и соревнования парней из-за женщин, и Ди, пытающаяся показать себя такой же сильной и успешной, как другие. При этом герои обычно избегают прямых столкновений и, почуяв опасность, бегут, поджав хвост. Сериал «В Филадельфии всегда солнечно» в России выходил также под названием «Пятеро под солнцем».","['2005', '—', 'по']",6.9,"['Чарли Дэй, Гленн Хоуертон, Роб МакЭлхенни, Кэйтлин Олсон, Дэнни ДеВито, Мэри Элизабет Эллис, Дэвид Хорнсби, Артемис Пебдани, Линн Мари Стюарт, Сэнди Мартин, Джейсон Судейкис', 'США', '18 +']"
